,timestamps,mem,cpu,disk,clustername
308,1584367619999,120390632,14267,781388480,AMS01-TVPP1-CloudCenter-Cluster
309,1584367919999,120381144,13128,781388480,AMS01-TVPP1-CloudCenter-Cluster
310,1584368219999,120375160,12976,781388480,AMS01-TVPP1-CloudCenter-Cluster
311,1584368519999,120376248,13312,781388480,AMS01-TVPP1-CloudCenter-Cluster
312,1584368819999,120364096,12743,781388480,AMS01-TVPP1-CloudCenter-Cluster
313,1584369119999,120363976,13127,781388480,AMS01-TVPP1-CloudCenter-Cluster
314,1584369419999,120360088,13722,781388480,AMS01-TVPP1-CloudCenter-Cluster
315,1584369719999,120364768,12743,781388480,AMS01-TVPP1-CloudCenter-Cluster
316,1584370019999,120363616,12827,781697728,AMS01-TVPP1-CloudCenter-Cluster
317,1584370319999,120360960,13030,781697728,AMS01-TVPP1-CloudCenter-Cluster
318,1584370619999,120361000,12470,781697728,AMS01-TVPP1-CloudCenter-Cluster
319,1584370919999,120361744,12656,781697728,AMS01-TVPP1-CloudCenter-Cluster
320,1584371219999,120365504,13285,781697728,AMS01-TVPP1-CloudCenter-Cluster
321,1584371519999,120366000,12480,781697728,AMS01-TVPP1-CloudCenter-Cluster
322,1584371819999,120365272,12555,782073536,AMS01-TVPP1-CloudCenter-Cluster
323,1584372119999,120361472,12826,782073536,AMS01-TVPP1-CloudCenter-Cluster
324,1584372419999,120364848,12598,782073536,AMS01-TVPP1-CloudCenter-Cluster
325,1584372719999,120366144,12496,782073536,AMS01-TVPP1-CloudCenter-Cluster
326,1584373019999,120358592,12847,782073536,AMS01-TVPP1-CloudCenter-Cluster
327,1584373319999,120359600,12373,782073536,AMS01-TVPP1-CloudCenter-Cluster
328,1584373619999,120359600,12427,782301888,AMS01-TVPP1-CloudCenter-Cluster
